Timestamp,Timepoint,SG,Temp,Color,Beer,Comment
25.10.2020 16:31:52,44129.68879961805,1.0490,120.0,PURPLE,Untitled,
25.10.2020 16:59:44,44129.70815124999,1.0490,116.0,PURPLE,Untitled,
25.10.2020 17:36:40,44129.73379950231,1.0500,110.0,PURPLE,Untitled,
25.10.2020 18:15:00,44129.76042002315,1.0510,106.0,PURPLE,Untitled,
25.10.2020 18:30:28,44129.771160625,1.0510,104.0,PURPLE,Untitled,
25.10.2020 19:03:46,44129.794285659715,1.0520,101.0,PURPLE,Untitled,
25.10.2020 19:25:16,44129.80921629629,1.0520,98.0,PURPLE,Untitled,
25.10.2020 19:50:16,44129.82657730324,1.0530,95.0,PURPLE,Untitled,
25.10.2020 20:11:02,44129.84099859953,1.0530,92.0,PURPLE,Untitled,
25.10.2020 20:31:26,44129.855165324065,1.0530,90.0,PURPLE,Untitled,
25.10.2020 20:47:55,44129.86661730323,1.0540,88.0,PURPLE,Untitled,
25.10.2020 20:53:08,44129.87023475694,1.0540,89.0,PURPLE,Untitled,
25.10.2020 20:53:08,44129.87023475694,1.0540,89.0,PURPLE,Hornindal 4,
25.10.2020 20:55:52,44129.87213271991,1.0540,90.0,PURPLE,Hornindal 4,
25.10.2020 20:56:24,44129.87250315972,1.0540,90.0,PURPLE,Hornindal 4,
25.10.2020 22:05:16,44129.92032724537,1.0520,91.0,PURPLE,Hornindal 4,
25.10.2020 22:46:26,44129.948915266206,1.0510,92.0,PURPLE,Hornindal 4,
26.10.2020 00:32:02,44130.02224861111,1.0490,92.0,PURPLE,Hornindal 4,
26.10.2020 07:04:32,44130.29481813657,1.0350,97.0,PURPLE,Hornindal 4,
26.10.2020 07:48:56,44130.32565185185,1.0340,98.0,PURPLE,Hornindal 4,
26.10.2020 20:06:24,44130.83778101851,1.0200,96.0,PURPLE,Hornindal 4,
26.10.2020 21:16:24,44130.8863922338,1.0210,95.0,PURPLE,Hornindal 4,
26.10.2020 22:39:08,44130.9438458912,1.0200,94.0,PURPLE,Hornindal 4,
26.10.2020 23:12:42,44130.96715630787,1.0190,94.0,PURPLE,Hornindal 4,
27.10.2020 07:02:56,44131.29370717592,1.0200,90.0,PURPLE,Hornindal 4,
27.10.2020 19:45:44,44131.823429398144,1.0190,87.0,PURPLE,Hornindal 4,
27.10.2020 22:36:26,44131.941979027775,1.0180,86.0,PURPLE,Hornindal 4,
